"id","mssubclass","lotshape","landcontour","landslope","bldgtype","housestyle","overallqual","overallcond","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","moderately_irregular","slightly_irregular","regular","irregular","depression","hillside","banked","near_flat_level","gentle_slope","moderate_slope","severe_slope","ordinal_encoded_overallqual","ordinal_encoded_overallcond","mean_encoded_mssubclass","mean_encoded_bldgtype","mean_encoded_housestyle","norm_lotfrontage","norm_lotarea","norm_garagearea","norm_grlivarea","norm_totalbsmtsf","norm_saleprice","std_lotfrontage","std_lotarea","std_garagearea","std_grlivarea","std_totalbsmtsf","std_saleprice"
170,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Above Average","NA","16669","511","1707","1686","228000",0,1,0,0,0,0,0,1,1,0,0,8,5,"185224.811567164179","185763.807377049180","175985.477961432507",NULL,"0.02875585742975166047","0.02681231524238267285","0.03608445768083327312","0.10287570342802053674","0.06537814763170259825",NULL,"0.61637196883238902570","0.17782507989646640123","0.36449752914107724241","1.4327853182991738","0.59261481450288848435"
171,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average","NA","12358","660","1382","720","128500",0,1,0,0,0,0,0,1,1,0,0,4,5,"143302.972222222222","185763.807377049180","143116.740259740260",NULL,"0.00860581886843917362","0.13188988929033753886","-0.02514387690846589795","-0.05522576956706947962","-0.07279710580532003749",NULL,"0.18446278405410028199","0.87472230162046252728","-0.25398416922949220335","-0.76914829440591239445","-0.65986334755448925913"
172,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Average","141","31770","528","1656","1080","215000",0,1,0,0,0,0,0,1,1,0,0,5,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.24297959463004573801","0.09933941862538605249","0.03880103174449832870","0.02647631902220478781","0.00369403403358518486","0.04732509944395089710","2.9215880932545874","2.1293064618356222","0.25733684344886864380","0.26744347801215711400","0.05144808299970979462","0.42897445162102003545"
173,"2-STORY PUD - 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Townhouse End Unit","Two story","Good","Good","44","5306","504","1767","1064","239000",0,1,0,0,0,0,0,1,1,0,0,7,7,"138647.380952380952","181959.342105263158","210051.764044943820","-0.08921218619187207021","-0.02435592363547538386","0.02187578491798210867","0.04738815022039619700","0.00107537609577831088","0.08065380379056942230","-1.0726878582056662","-0.52206089283211920784","0.14508494196312430135","0.47867876576333621701","0.01497713289279325289","0.73107973694139255649"
174,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Average","80","10197","504","1362","1362","163000",0,1,0,0,0,0,0,1,1,0,0,5,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.03407548504100464212","-0.00149490795387497254","0.02187578491798210867","-0.02891177442165353924","0.04984788018743133871","-0.02488709330705590751","0.40972383511978875795","-0.03204284069790203190","0.14508494196312430135","-0.29204458143691186155","0.69424857863411384273","-0.22558699990645376014"
175,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Average","47","12416","616","1651","1606","184000",0,1,0,0,0,0,0,1,1,0,0,5,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.07893821358913234418","0.00887691658046796607","0.10086027010839113547","0.02553434464390787749","0.08978241373898616686","0.00427552299623530204","-0.94915355042854495789","0.19027367078969312521","0.66892714889659789945","0.25792837496030219944","1.2504305677645911","0.03875512474887219577"
176,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Good","84","12615","576","2158","1202","243000",0,0,1,0,0,0,0,1,1,0,0,5,7,"185224.811567164179","185763.807377049180","175985.477961432507","0.04777411517799094349","0.00980706217863571946","0.07265152539753076876","0.12105054660321458434","0.02366130080936259894","0.08620858784833917650","0.57443624548928375381","0.21021102355491684593","0.48184064642035732870","1.2227598244183905","0.32953907756494842536","0.78143061782812131000"
177,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Above Average","Average","97","10029","521","2060","1151","211000",0,1,0,0,0,0,0,1,1,0,0,5,4,"239948.501672240803","185763.807377049180","210051.764044943820","0.09229466312319642295","-0.00228015649906181963","0.03386450142009776453","0.10258784878859514199","0.01531432863260318813","0.04177031538618114290","1.1097515791901425","-0.04887437469065371572","0.22459670551552654392","1.0362638046020342","0.21328792409915194858","0.37862357073429128194"
178,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average","NA","13650","451","1920","1052","172500",0,0,1,0,0,0,0,1,1,0,0,4,4,"143302.972222222222","185763.807377049180","143116.740259740260",NULL,"0.01464475410880468812","-0.01550080182390787722","0.07621256619628165292","-0.00088861735757684460","-0.01169448116985274129",NULL,"0.31390529547454775517","-0.10280467381789445490","0.76984091915009660224","-0.01237607968739415342","-0.10600365780047297056"
179,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Excellent","Average","63","17423","1166","2234","2216","501837",0,1,0,0,0,0,0,1,1,0,0,9,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.02414369304118713870","0.03228012768612596228","0.48873050988272117779","0.13536855715332762127","0.18961874761787323723","0.44565449813857664352","-0.29030390895056497445","0.69191349639509598760","3.2413665579449057","1.3673893908065852","2.6408855405907843","4.0395983568476739"
180,"1-STORY 1945 & OLDER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","60","8520","480","968","968","100000",0,0,1,0,0,0,0,1,1,0,0,4,5,"95829.724637681159","185763.807377049180","175985.477961432507","-0.03441766564392686473","-0.00933337111029367828","0.00495053809146588865","-0.10313935543145007278","-0.01463657153106293298","-0.11237494221692953618","-0.41383821672768622135","-0.20005761751840544716","0.03283304047737995890","-1.0418347019230791","-0.20384856774870599753","-1.0186133738724316"
181,"2-STORY PUD - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse Inside Unit","Two story","Above Average","Average","NA","2117","440","1525","756","177000",0,0,1,0,0,0,0,1,1,0,0,5,4,"138647.380952380952","135911.627906976744","210051.764044943820",NULL,"-0.03926162369857571338","-0.02325820661939447807","0.00179659031082573732","-0.04933378920700401318","-0.00544534910486176781",NULL,"-0.84155947558738777748","-0.15425346199886061186","0.01814777805355835278","-0.68708865666535017554","-0.04935891680290312286"
182,"2-STORY 1945 & OLDER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Above Average","54","7588","216","1802","793","200100",0,0,1,0,0,0,0,1,1,0,0,7,5,"166772.416666666667","185763.807377049180","210051.764044943820","-0.05496561084940631678","-0.01368963089668737760","-0.18122717700021253166","0.05398197086847456927","-0.04327814272582561710","0.02663352882875856270","-0.66090683228192871514","-0.29343255609724216930","-1.2019378758658078","0.54528448712632061886","-0.60274958454310567277","0.24141742031795542864"
183,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","60","9060","252","1340","0","120000",0,0,1,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507","-0.03441766564392686473","-0.00680935792933595550","-0.15583930676043820162","-0.03305646168615994467","-0.17306537676837880859","-0.08460102192808076517","-0.41383821672768622135","-0.14595625825598932060","-1.0335600236371913","-0.33391103486507348557","-2.4103410492171568","-0.76685896943878786033"
184,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Average","63","11426","484","2082","1362","200000",0,0,1,0,0,0,0,1,1,0,0,7,4,"143302.972222222222","185763.807377049180","143116.740259740260","-0.02414369304118713870","0.00424955908204547430","0.00777141256255192532","0.10673253605310154742","0.04984788018743133871","0.02649465922731431884","-0.29030390895056497445","0.09108784547526355985","0.05154169072500401597","1.0781302580301958","0.69424857863411384273","0.24015864829578720980"
185,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Very Good","92","7438","576","1252","504","127000",0,1,0,0,0,0,0,1,1,0,0,4,8,"143302.972222222222","185763.807377049180","143116.740259740260","0.07517137545196354623","-0.01439074566917563392","0.07265152539753076876","-0.04963521074418556637","-0.09057765172746227831","-0.07488014982698369532","0.90386106622827374553","-0.30846071144791331557","0.48184064642035732870","-0.50137684857771998166","-1.2615061208492857","-0.67874492788701254170"
186,"2-1/2 STORY ALL AGES","Moderately Irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two and one-half story: 2nd level finished","Very Excellent","Excellent","90","22950","840","3608","1107","475000",1,0,0,0,0,0,0,1,1,0,0,10,9,"192437.500000000000","185763.807377049180","220000.000000000000","0.06832206038347039555","0.05811387000307658043","0.25882924048920918907","0.39422311630931857832","0.00811301930363428470","0.40838606319898492015","0.82150486104352624760","1.2456509272161588","1.7166115627635451","3.9821397094563158","0.11299281130513145880","3.7017817092583890"
187,"SPLIT OR MULTI-LEVEL","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Split Level","Good","Average","NA","9947","497","1217","1188","173000",0,1,0,0,0,0,0,1,1,0,0,7,4,"169736.551724137931","185763.807377049180","166703.384615384615",NULL,"-0.00266343257468873309","0.01693925459358154450","-0.05622903139226393864","0.02136997511378158421","-0.01100013316263152201",NULL,"-0.05708976628235394234","0.11234480402978220147","-0.56798256994070438351","0.29762699622139645134","-0.09970979768963187637"
188,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Good","60","10410","180","1656","660","135000",0,0,1,0,0,0,0,1,1,0,0,4,7,"143302.972222222222","185763.807377049180","143116.740259740260","-0.03441766564392686473","-0.00049932497694164855","-0.20661504723998686171","0.02647631902220478781","-0.06504573683384525704","-0.06377058171144418692","-0.41383821672768622135","-0.01070286009994900420","-1.3703157280944243","0.26744347801215711400","-0.90591435730684942596","-0.57804316611355503468"
189,"DUPLEX - ALL STYLES AND AGES","Regular","Banked - Quick and significant rise from street grade to building","Gentle slope","Duplex","Split Foyer","Average","Average","64","7018","528","1224","1086","153337",0,0,1,0,0,0,1,0,1,0,0,4,4,"133541.076923076923","133541.076923076923","135074.486486486486","-0.02071903550694056336","-0.01635386703214275164","0.03880103174449832870","-0.05491026726264826419","0.00467603076026276260","-0.03830606289461319122","-0.24912580635819122549","-0.35053954642979252512","0.25733684344886864380","-0.55466142566810750314","0.06512468928980349777","-0.34722214040856874642"
190,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Very Good","Average","41","4923","682","1593","1593","286000",0,0,1,0,0,0,0,1,1,0,0,8,4,"200779.080459770115","181959.342105263158","175985.477961432507","-0.09948615879461179623","-0.02614610335456206502","0.14740469888131074055","0.01460744185566371773","0.08765475416451808175","0.14592251646936403416","-1.1962221659827875","-0.56043278282749953464","0.97761987798239484119","0.14755317955878519066","1.2207979208027214","1.3227025873604554"
191,"2-STORY 1945 & OLDER","Regular","Banked - Quick and significant rise from street grade to building","Moderate Slope","Single-family Detached","Two story","Very Good","Very Good","70","10570","440","2727","853","315000",0,0,1,0,0,0,1,0,0,1,0,8,8,"166772.416666666667","185763.807377049180","210051.764044943820","-0.00017109030146111130","0.00024853078037915819","-0.02325820661939447807","0.22824723085340297922","-0.03345817545904983969","0.18619470088819475212","-0.00205719080394873170","0.00532717227410021849","-0.15425346199886061186","2.3055785517194798","-0.46598352164216864126","1.6877464737892389"
192,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Excellent","NA","7472","484","1479","725","184000",0,1,0,0,0,0,0,1,1,0,0,7,9,"239948.501672240803","185763.807377049180","210051.764044943820",NULL,"-0.01423182632074496249","0.00777141256255192532","-0.00686957396950583766","-0.05440743896150483151","0.00427552299623530204",NULL,"-0.30505432956842785575","0.05154169072500401597","-0.06939117002350686108","-0.75775112249750097515","0.03875512474887219577"
193,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Good","Average","68","9017","666","1431","1431","192000",0,1,0,0,0,0,0,1,1,0,0,7,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.00702040536995426199","-0.00701034416411592232","0.13612120099696659386","-0.01591252800115617677","0.06114084254422348273","0.01538509111177481044","-0.08441339598869622963","-0.15026432945651504920","0.90278527699189861289","-0.16073615932131404076","0.85152955097019142897","0.13945688652232970279"
194,"2-STORY PUD - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse Inside Unit","Two story","Good","Average","24","2522","380","1709","970","130000",0,0,1,0,0,0,0,1,1,0,0,7,4,"138647.380952380952","135911.627906976744","210051.764044943820","-0.15770533687680357705","-0.03736861381285742130","-0.06557132368568502814","0.03646124743215203725","-0.01430923928883707373","-0.07071406178365637967","-1.8962499100531412","-0.80098345614057568256","-0.43488321571322146798","0.36830357036181920823","-0.19928969898534142981","-0.64098176722196597657"
195,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Good","60","7180","352","864","864","127000",0,1,0,0,0,0,0,1,1,0,0,4,7,"185224.811567164179","185763.807377049180","175985.477961432507","-0.03441766564392686473","-0.01559666307785543481","-0.08531744498328728484","-0.12273242250002580752","-0.03165784812680761383","-0.07488014982698369532","-0.41383821672768622135","-0.33430913865106768715","-0.56584376744658986751","-1.2397488454016614","-0.44090974344366351882","-0.67874492788701254170"
196,"2-STORY PUD - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse Inside Unit","Two story","Above Average","Above Average","24","2280","440","1456","855","148500",0,0,1,0,0,0,0,1,1,0,0,5,5,"138647.380952380952","135911.627906976744","210051.764044943820","-0.15770533687680357705","-0.03849974564580514151","-0.02325820661939447807","-0.01120265610967162515","-0.03313084321682398044","-0.04502318551647126649","-1.8962499100531412","-0.82522888010632513187","-0.15425346199886061186","-0.11316064406203946801","-0.46142465287880407355","-0.40810894312084549160"
197,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Good","Average","79","9416","786","1726","1726","311872",0,0,1,0,0,0,0,1,1,0,0,7,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.03065082750675806678","-0.00514537886929716049","0.22074743512954769401","0.03966396031836153235","0.10942234827253772169","0.18185085975501880433","0.36854573252741500899","-0.11028943622372980013","1.4640447844206203","0.40065492073812591770","1.5239626935664652","1.6483720849358170"
198,"2-1/2 STORY ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Very Good","Below Average","174","25419","795","3112","1360","235000",0,0,1,0,0,0,0,1,1,0,0,8,3,"192437.500000000000","185763.807377049180","210051.764044943820","0.35599329326018272432","0.06965421915823327958","0.22709440268949127652","0.30077925798226507417","0.04952054794520547946","0.07509901973279966810","4.2804654788029212","1.4930143642882059","1.5061392474777745","3.0382414867123082","0.68968970987074927501","0.68072885605466380298"
199,"2-1/2 STORY ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two and one-half story: 2nd level finished","Above Average","Above Average","92","5520","0","2229","755","104000",0,0,1,0,0,0,0,1,1,0,0,5,5,"192437.500000000000","185763.807377049180","220000.000000000000","0.07517137545196354623","-0.02335566656005880483","-0.33355439843885851192","0.13442658277503071095","-0.04949745532811694280","-0.10682015815915978197","0.90386106622827374553","-0.50062072453182837250","-2.2122049892375069","1.3578742877547303","-0.68936809104703245940","-0.96826249298570287436"
200,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average","76","9591","856","1713","1713","274900",0,0,1,0,0,0,0,1,1,0,0,8,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.02037685490401834075","-0.00432741163472752810","0.27011273837355333575","0.03721482693478956550","0.10729468869806963658","0.13050799070905296625","0.24501142475029376209","-0.09275658831461346282","1.7914461637540413","0.37591565280330313987","1.4943300466045955","1.1829788928997831"
201,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Below Average","Average","80","8546","440","1121","1121","140000",0,0,1,0,0,0,0,1,1,0,0,3,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.03407548504100464212","-0.00921184454972904719","-0.02325820661939447807","-0.07431493945556461686","0.01040434499921529943","-0.05682710163923199417","0.40972383511978875795","-0.19745273725762244848","-0.15425346199886061186","-0.75067254853631874287","0.14490489264868343282","-0.51510456500514409280"
202,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Above Average","75","10125","473","1279","1196","171500",0,0,1,0,0,0,0,1,1,0,0,5,5,"185224.811567164179","185763.807377049180","175985.477961432507","0.01695219736977176541","-0.00183144304466933558","0.000014007767065324471086","-0.04454854910138225062","0.02267930408268502119","-0.01308317718429517984","0.20383332215792001313","-0.03925635526622418211","0.000092902544037859014540","-0.44999529209770344309","0.31586247127485472221","-0.11859137802215515894"
203,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Above Average","50","7000","398","1310","617","112000",0,0,1,0,0,0,0,1,1,0,0,5,5,"143302.972222222222","185763.807377049180","143116.740259740260","-0.06866424098639261815","-0.01643800080484134240","-0.05287738856579786312","-0.03870830795594140661","-0.07208338004170123085","-0.09571059004362027357","-0.82561924265142371100","-0.35234292507187306267","-0.35069428959891321114","-0.39100165317620297288","-1.0039300357191876","-0.86756073121224536735"
204,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Above Average","Average","NA","4438","420","848","848","149000",0,0,1,0,0,0,0,1,1,0,0,5,4,"200779.080459770115","181959.342105263158","175985.477961432507",NULL,"-0.02841304111894076048","-0.03736257897482466142","-0.12574674051057592055","-0.03427650606461448781","-0.04432883750925004722",NULL,"-0.60902381846133624091","-0.24779671323698089723","-1.2701971751675971","-0.47738069355058006055","-0.40181508301000439741"
205,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Good","50","3500","240","1284","720","110000",0,0,1,0,0,0,0,1,1,0,0,4,7,"143302.972222222222","185763.807377049180","143116.740259740260","-0.06866424098639261815","-0.03279734549623399004","-0.16430193017369631164","-0.04360657472308534030","-0.05522576956706947962","-0.09848798207250515067","-0.82561924265142371100","-0.70299988325419980890","-1.0896859743800635","-0.44048018904584852854","-0.76914829440591239445","-0.89273617165560974410"
206,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Good","Average","99","11851","500","1442","1424","180500",0,0,1,0,0,0,0,1,1,0,0,7,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.09914397819168957363","0.00623605093742886723","0.01905491044689607200","-0.01384018436890297406","0.05999517969643297537","-0.00058491305431323288","1.1921077843748900","0.13366761896883180761","0.12637629171550024427","-0.13980293260723322875","0.83557351029841544196","-0.00530189602701546355"
207,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average","40","13673","349","1696","1140","143900",0,1,0,0,0,0,0,1,1,0,0,4,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.10291081632885837158","0.01475225837391955409","-0.08743310083660181234","0.03401211404858007040","0.01351400130036096227","-0.05141118718290648382","-1.2374002685751612","0.31620961262831733093","-0.57987525513230791032","0.34356430242699643040","0.18821414590064682613","-0.46601245614058355813"
208,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Below Average","Average","NA","12493","312","1100","1100","141000",0,1,0,0,0,0,0,1,1,0,0,3,4,"185224.811567164179","185763.807377049180","175985.477961432507",NULL,"0.00923682216367860431","-0.11352618969414765155","-0.07827123184441164022","0.00696735645584377733","-0.05543840562478955562",NULL,"0.19798812386970431363","-0.75293026992283043826","-0.79063598135410938398","0.09703677063335547179","-0.50251684478346190442"
209,"2-STORY 1946 & NEWER","Slightly irregular","Depression","Moderate Slope","Single-family Detached","Two story","Good","Average","NA","14364","454","2062","1157","277000",0,1,0,0,1,0,0,0,0,1,0,7,4,"239948.501672240803","185763.807377049180","210051.764044943820",NULL,"0.01798206042584878824","-0.01338514597059334972","0.10296463853991390612","0.01629632535928076588","0.13342425233938208721",NULL,"0.38543931494374241140","-0.08877318613217641209","1.0400698458227762","0.22696453038924565173","1.2094131053653157"
210,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Good","75","8250","504","1092","1092","145000",0,0,1,0,0,0,0,1,1,0,0,5,7,"185224.811567164179","185763.807377049180","175985.477961432507","0.01695219736977176541","-0.01059537770077253967","0.02187578491798210867","-0.07977839084968669674","0.00565802748694034034","-0.04988362156701980142","0.20383332215792001313","-0.22710829714961351044","0.14508494196312430135","-0.80586014623707724726","0.07880129557989720093","-0.45216596389673315092"
211,"1-STORY 1945 & OLDER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","67","5604","0","864","864","98000",0,0,1,0,0,0,0,1,1,0,0,4,5,"95829.724637681159","185763.807377049180","175985.477961432507","-0.01044506290420083733","-0.02296304228746538129","-0.33355439843885851192","-0.12273242250002580752","-0.03165784812680761383","-0.11515233424581441328","-0.12559149858106997859","-0.49220495753545253059","-2.2122049892375069","-1.2397488454016614","-0.44090974344366351882","-1.0437888143157960"
212,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Average","83","10420","460","1212","1212","186000",0,0,1,0,0,0,0,1,1,0,0,5,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.04434945764374436815","-0.00045258399210909813","-0.00915383426396429471","-0.05717100577056084896","0.02529796202049189517","0.00705291502512017914","0.53325814289691000485","-0.00970098307657092778","-0.06071021076074032648","-0.57749767299255929806","0.35233342138177126395","0.06393056519223657253"
213,"2-STORY 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Average","72","8640","644","1852","900","252678",0,0,1,0,0,0,0,1,1,0,0,7,4,"239948.501672240803","185763.807377049180","210051.764044943820","0.00667822476703203938","-0.00877247929230307322","0.12060639140599339217","0.06340171465144367251","-0.02576586776674214738","0.09964838787611309679","0.08029901438079876623","-0.18803509323786853015","0.79988770062996629898","0.64043551764486976436","-0.35885010570310129991","0.90325457413356152911"
214,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average","43","13568","576","990","990","156000",1,0,0,0,0,0,0,1,1,0,0,4,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.09263684372611864555","0.01426147803317777466","0.07265152539753076876","-0.09899466816694366735","-0.01103591686657848126","-0.03460796540815297736","-1.1138659607980400","0.30568990388284752854","0.48184064642035732870","-0.99996824849491750409","-0.15370101135169575264","-0.31370104145822907877"
215,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Above Average","Good","NA","10900","299","1392","689","161750",0,1,0,0,0,0,0,1,1,0,0,5,7,"239948.501672240803","185763.807377049180","210051.764044943820",NULL,"0.00179098327985332212","-0.12269403172517727073","-0.02325992815187207730","-0.06029941932157029795","-0.02662296332510895570",NULL,"0.03838911404557674027","-0.81373338322760862376","-0.23495396312578237425","-0.83981076023806319406","-0.24132165018355649561"
216,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","72","10011","447","1236","1070","134450",0,1,0,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507","0.00667822476703203938","-0.00236429027176041039","-0.01832167629499391389","-0.05264952875473567941","0.00205737282245588863","-0.06453436451938752812","0.08029901438079876623","-0.05067775333273425327","-0.12151332406551851197","-0.53182517834365570822","0.02865373918288695604","-0.58496641223548023829"
217,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Good","Average","65","8450","484","1436","1436","210000",0,0,1,0,0,0,0,1,1,0,0,7,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.01729437797269398801","-0.00966055800412153123","0.00777141256255192532","-0.01497055362285926645","0.06195917314978813085","0.04038161937173870435","-0.20794770376581747652","-0.20707075668205198209","0.05154169072500401597","-0.15122105626945912621","0.86292672287860284826","0.36603585051260909357"
218,"2-STORY 1945 & OLDER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Below Average","Below Average","57","9906","210","1328","686","107000",0,0,1,0,0,0,0,1,1,0,0,3,3,"166772.416666666667","185763.807377049180","210051.764044943820","-0.04469163824666659075","-0.00285507061250218982","-0.18545848870684158667","-0.03531720019407252945","-0.06079041768490908682","-0.10265407011583246632","-0.53737252450480746824","-0.06119746207820405566","-1.2300008512372439","-0.35674728218952528050","-0.84664906338311004564","-0.93049933232065630923"
219,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Excellent","NA","15660","431","1954","798","311500",0,1,0,0,0,0,0,1,1,0,0,7,9,"143302.972222222222","185763.807377049180","143116.740259740260",NULL,"0.02403969206014732291","-0.02960517417933806058","0.08261799196870064312","-0.04245981212026096899","0.18133426483764621719",NULL,"0.51528257717354111515","-0.19634792505601474027","0.83454361990271002118","-0.59135241263469425348","1.6436894530133512"
220,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Good","Average","43","3010","438","1248","1248","167240",0,0,1,0,0,0,0,1,1,0,0,7,4,"200779.080459770115","181959.342105263158","175985.477961432507","-0.09263684372611864555","-0.03508765375302896071","-0.02466864385493749640","-0.05038879024682309463","0.03118994238055736162","-0.01899902220581996806","-1.1138659607980400","-0.75209185739972555337","-0.16360778712267264039","-0.50898893101920391330","0.43439305912233348286","-0.17221506616652128142"
221,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Good","Average","73","8990","675","1498","1498","204900",0,1,0,0,0,0,0,1,1,0,0,7,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.01010288230127861473","-0.00713654482316380846","0.14246816855691017638","-0.00329007133197757843","0.07210647265878976751","0.03329926969808226774","0.12147711697317251520","-0.15296939741963585553","0.94487974004905274131","-0.03323377842645818579","1.0042516545429044","0.30183847738202993285"
222,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Above Average","Average","NA","8068","390","2267","1010","200000",0,1,0,0,0,0,0,1,1,0,0,5,4,"239948.501672240803","185763.807377049180","210051.764044943820",NULL,"-0.01144606362472495735","-0.05851913750796993646","0.14158558805008722941","-0.00776259444431988879","0.02649465922731431884",NULL,"-0.24534245897509450125","-0.38811159009416132530","1.4301890709488277","-0.10811232371805007547","0.24015864829578720980"
